K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10334_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10334.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10359_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10359.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10341_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10341.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10353_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10353.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10365_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10365.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10354_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10354.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10325_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10325.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10340_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10340.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10381_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10381.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10339_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10339.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10310_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10310.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10324_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10324.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10338_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10338.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10329_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10329.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10342_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10342.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10314_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10314.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10372_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10372.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10355_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10355.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10379_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10379.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10328_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10328.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10362_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10362.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10380_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10380.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10336_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10336.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10344_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10344.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10327_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10327.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10358_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10358.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10383_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10383.mha
K:\dharaneesh\dharaneesh\PANTHER_Task2\ImagesTr\10361_0000.mha,K:\dharaneesh\dharaneesh\PANTHER_Task2\LabelsTr\10361.mha
